=== Running 6 BPF experiments (Cubic Sensor + Stochastic Volatility) ===

========================================
[1/6] hmc/cubic_sensor/bpf_sys
========================================
Creating true model: src.models.cubic_sensor.CubicSensorModel
Generating 50 time steps with true params: {'sigma_V': 1.0, 'sigma_W': 1.0}
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1771739646.544352 2186196 gpu_device.cc:2020] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22322 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:01:00.0, compute capability: 8.6
Creating inference model
Trainable params: ['sigma_V', 'sigma_W']

Running HMC inference...
Using HMC sampler (num_leapfrog_steps=5)
Running HMC: 100 burn-in + 200 sampling = 300 total steps
  [grad check] lp=-160.7081, |grad|=9.49333477487508, grad=[-8.8520786  -3.42988478]
  [sample 49/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9939, sigma_W=1.9494 | ETA 118s
  [sample 50/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9938, sigma_W=1.9503 | ETA 117s
  [sample 51/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9938, sigma_W=1.9503 | ETA 116s
  [sample 52/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9938, sigma_W=1.9500 | ETA 116s
  [sample 53/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9944, sigma_W=1.9503 | ETA 115s
  [sample 54/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9946, sigma_W=1.9498 | ETA 115s
  [sample 55/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9946, sigma_W=1.9501 | ETA 114s
  [sample 56/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9951, sigma_W=1.9506 | ETA 113s
  [sample 57/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9961, sigma_W=1.9517 | ETA 113s
  [sample 58/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9970, sigma_W=1.9513 | ETA 112s
  [sample 59/200] 0.8s | accept=90% | step_size=0.0001 | sigma_V=4.9978, sigma_W=1.9513 | ETA 111s
  [sample 60/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9985, sigma_W=1.9514 | ETA 110s
  [sample 61/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9975, sigma_W=1.9518 | ETA 109s
  [sample 62/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9975, sigma_W=1.9510 | ETA 108s
  [sample 63/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9982, sigma_W=1.9503 | ETA 107s
  [sample 64/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9986, sigma_W=1.9510 | ETA 107s
  [sample 65/200] 0.8s | accept=94% | step_size=0.0001 | sigma_V=4.9990, sigma_W=1.9513 | ETA 106s
  [sample 66/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9990, sigma_W=1.9513 | ETA 105s
  [sample 67/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=4.9998, sigma_W=1.9512 | ETA 104s
  [sample 68/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0002, sigma_W=1.9512 | ETA 104s
  [sample 69/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0007, sigma_W=1.9508 | ETA 103s
  [sample 70/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0008, sigma_W=1.9514 | ETA 102s
  [sample 71/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0017, sigma_W=1.9506 | ETA 101s
  [sample 72/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0015, sigma_W=1.9503 | ETA 100s
  [sample 73/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0018, sigma_W=1.9498 | ETA 100s
  [sample 74/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0019, sigma_W=1.9496 | ETA 99s
  [sample 75/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0015, sigma_W=1.9490 | ETA 98s
  [sample 76/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0017, sigma_W=1.9493 | ETA 97s
  [sample 77/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0015, sigma_W=1.9482 | ETA 96s
  [sample 78/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0024, sigma_W=1.9484 | ETA 95s
  [sample 79/200] 0.8s | accept=92% | step_size=0.0001 | sigma_V=5.0014, sigma_W=1.9487 | ETA 94s
